#ucsc_id	geneSymbol	Sample_3	Sample_4	Sample_6	Sample_7	Sample_8	Sample_9	Sample_34	Sample_35	Sample_36	Sample_38	Sample_39	Sample_40	Sample_62	Sample_63	Sample_64	Sample_67	Sample_68	Untreated1	Untreated2	HighDose1	HighDose2	Survivors1	Survivors2
uc001bgy.1	ASAP3																							
uc001bha.2	ASAP3																							
uc001bhc.1	ASAP3																							
uc001bhd.3	BC038455																							
uc001bhe.2	E2F2																							
uc001bhf.1	AX748204																							
uc001bhh.4	ID3																							
uc001bhi.3	MDS2																							
uc001bhj.3	MDS2																							
uc001bhk.3	RPL11																							
uc001bhl.3	RPL11																							
uc001bho.3	TCEB3																							
uc001bhp.2	LOC100506963																							
uc001bhq.3	PITHD1																							
uc001bht.3	LYPLA2																							
uc001bhv.1	GALE																							
uc001bhx.1	GALE																							
uc001bhz.1	GALE																							
uc001bib.3	HMGCL																							
uc001bic.3	HMGCL																							
uc001bie.3	FUCA1																							
uc001bif.3	CNR2																							
uc001big.3	PNRC2																							
uc001bij.2	SRSF10																							
uc001bil.4	MYOM3																							
uc001bim.4	MYOM3																							
uc001bin.4	MYOM3																							
uc001bio.3	MYOM3																							
uc001bip.1	MYOM3																							
uc001biq.2	IL22RA1																							
uc001bir.3	IL28RA																							
uc001bis.3	IL28RA																							
uc001bit.3	IL28RA																							
uc001biu.3	IL28RA																							
uc001biv.3	IL28RA																							
uc001bix.3	GRHL3																							
uc001biy.3	GRHL3																							
uc001biz.3	GRHL3																							
uc001bja.3	C1orf201																							
uc001bjb.3	C1orf201																							
uc001bjc.3	C1orf201																							
uc001bjd.3	C1orf201																							
uc001bjf.3	C1orf201																							
uc001bjh.3	NIPAL3																							
uc001bji.3	NIPAL3																							
uc001bjj.3	RCAN3																							
uc001bjk.2	C1orf130																							
uc001bjm.3	SRRM1																							
uc001bjo.2	CLIC4																							
uc001bjp.1	CLIC4																							
uc001bjq.3	RUNX3																							
uc001bjr.3	RUNX3																							
uc001bjs.3	AX747207																							
uc001bjt.1	SYF2																							
uc001bju.1	SYF2																							
uc001bjv.1	SYF2																							
uc001bjw.3	C1orf63																							
uc001bjz.3	RHD																							
uc001bka.3	RHD																							
uc001bkb.3	RHD																							
uc001bkc.3	RHD																							
uc001bkd.1	AX747205																							
uc001bke.3	TMEM50A																							
uc001bkf.3	RHCE																							
uc001bkg.3	RHCE																							
uc001bkh.3	RHCE																							
uc001bki.3	RHCE																							
uc001bkj.3	RHCE																							
uc001bkk.3	TMEM57																							
uc001bkl.4	LDLRAP1																							
